"local";"rh";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
324;97;5,44999980926514;17,6499996185303;-6,94999980926514;645,700012207031;79,8000030517578;30,7999992370605;28,8999996185303;228,100006103516;107,599998474121;228,100006103516;127,599998474121;7;20,7000007629395;964,700012207031;22,9500007629395;-10,8500003814697;33,7999992370605;17,6499996185303;-1,04999995231628;208;1015,5;1,71314108371735;0,293269217014313;0,184661954641342;330,333343505859;2,3189103603363;1,46014130115509
303;100;6,05000019073486;15,8500003814697;-3,04999995231628;647,799987792969;82,3000030517578;33,9000015258789;29;226,300003051758;106,199996948242;226,300003051758;129,300003051758;6,80000019073486;24,2000007629395;735,299987792969;21,6499996185303;-6,44999980926514;28,1000003814697;15,8500003814697;0,449999988079071;255,66667175293;1018,20001220703;1,7444589138031;0,387222945690155;0,273732721805573;361,666656494141;4,82920455932617;3,41382479667664
325;125;5,55000019073486;17,75;-6,84999990463257;627,200012207031;79;30;30,7999992370605;223,899993896484;100,400001525879;223,899993896484;120,599998474121;6,90000009536743;20,3999996185303;961,400024414062;23,0499992370605;-10,75;33,7999992370605;17,75;-0,850000023841858;274,666656494141;991,900024414062;1,21723306179047;0,207524284720421;0,185869574546814;306,666656494141;2,18567967414856;1,95760869979858
334;52;12,25;17,8500003814697;4,84999990463257;2077,89990234375;644,400024414062;13,1000003814697;120,300003051758;1523,19995117188;103,800003051758;884,700012207031;159;10,6000003814697;41,7000007629395;523,099975585938;23,4500007629395;-1,85000002384186;25,2999992370605;16,8500003814697;8,44999980926514;238,33332824707;1606,90002441406;1,79860138893127;0,289510488510132;0,199806943535805;345,333343505859;2,59720277786255;1,79247093200684
335;85;23,9500007629395;30,0499992370605;15,6499996185303;1433,90002441406;461,100006103516;7,30000019073486;126,699996948242;1089,5;63,2000007629395;611,5;98;10,8000001907349;38,9000015258789;574,599975585938;36,5499992370605;8,64999961853027;27,8999996185303;28,1499996185303;16,3500003814697;252;1801,69995117188;1,13624346256256;0,210317462682724;0,148459389805794;357;1,06746029853821;0,753501415252686
174;129,3;-0,0500000007450581;17,3500003814697;-19,3500003814697;779,299987792969;196;6,69999980926514;97,6999969482422;490,700012207031;25,8999996185303;490,700012207031;25,8999996185303;10,3999996185303;20,5;1429,09997558594;22,75;-27,9500007629395;50,7000007629395;17,3500003814697;-19,3500003814697;204,33332824707;632;1,87928223609924;0,386623173952103;0,222535207867622;355;3,78140306472778;2,17652583122253
325;125;5,55000019073486;17,75;-6,84999990463257;627,200012207031;79;30;30,7999992370605;223,899993896484;100,400001525879;223,899993896484;120,599998474121;6,90000009536743;20,3999996185303;961,400024414062;23,0499992370605;-10,75;33,7999992370605;17,75;-0,850000023841858;274,666656494141;991,900024414062;1,21723306179047;0,207524284720421;0,185869574546814;306,666656494141;2,18567967414856;1,95760869979858
324;121;5,44999980926514;17,6499996185303;-6,94999980926514;645,700012207031;79,8000030517578;30,7999992370605;28,8999996185303;228,100006103516;107,599998474121;228,100006103516;127,599998474121;7;20,7000007629395;964,700012207031;22,9500007629395;-10,8500003814697;33,7999992370605;17,6499996185303;-1,04999995231628;208;1015,5;1,71314108371735;0,293269217014313;0,184661954641342;330,333343505859;2,3189103603363;1,46014130115509
324;130;5,44999980926514;17,6499996185303;-6,94999980926514;645,700012207031;79,8000030517578;30,7999992370605;28,8999996185303;228,100006103516;107,599998474121;228,100006103516;127,599998474121;7;20,7000007629395;964,700012207031;22,9500007629395;-10,8500003814697;33,7999992370605;17,6499996185303;-1,04999995231628;208;1015,5;1,71314108371735;0,293269217014313;0,184661954641342;330,333343505859;2,3189103603363;1,46014130115509
342;46;-8,94999980926514;16,4500007629395;-36,25;276;47;7,80000019073486;61,2999992370605;131,199996948242;26,1000003814697;131,199996948242;30;9;14,1000003814697;2067;23,5499992370605;-40,3499984741211;63,9000015258789;16,4500007629395;-19,4500007629395;231,66667175293;254,100006103516;1,69352519512177;0,302158266305923;0,147368416190147;475;4,09784173965454;1,99859642982483
