"local";"rs";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"clay_0_30cm";"npp";"ocd_clay_0_30cm";"ocs_clay_0_30cm";"ocs_sand_0_30cm";"sand_0_30cm";"soc_clay_0_30cm";"soc_sand_0_30cm"
195;1105,95;7,44999980926514;12,5500001907349;1,95000004768372;291;30;15,1999998092651;21;88,3000030517578;52,2999992370605;86,4000015258789;60;8;41,7000007629395;412,299987792969;17,5499992370605;-1,75;19,2999992370605;11,9499998092651;5,65000009536743;212;509,799987792969;1,39150941371918;0,235849052667618;0,0794491544365883;629,333312988281;1,10062885284424;0,370762705802917
194;853,1;7,34999990463257;12,5500001907349;1,64999997615814;323,700012207031;33,9000015258789;16,2000007629395;21,2999992370605;97,9000015258789;56,5999984741211;97,5999984741211;68,3000030517578;8,5;41,9000015258789;426,200012207031;17,9500007629395;-2,34999990463257;20,2999992370605;12,0500001907349;5,44999980926514;208,66667175293;561,400024414062;1,45207667350769;0,253993600606918;0,0820010304450989;646,333312988281;1,35303521156311;0,436823129653931
196;945,68;7,15000009536743;12,3500003814697;1,35000002384186;260,200012207031;28,1000003814697;14,3000001907349;20,2999992370605;80,6999969482422;47,9000015258789;73,6999969482422;55,0999984741211;8,30000019073486;41,2000007629395;428,100006103516;17,75;-2,45000004768372;20,2000007629395;7,05000019073486;5,25;194,33332824707;460,200012207031;1,34819900989532;0,24699829518795;0,0686367973685265;699,333312988281;1,06346487998962;0,295519560575485
203;825,23;6,25;11,75;0,150000005960464;352,399993896484;40,5;22,2999992370605;19,7000007629395;112,800003051758;69,0999984741211;90,3000030517578;80,1999969482422;8,5;40,0999984741211;452,799987792969;17,25;-3,95000004768372;21,2000007629395;6,05000019073486;7,05000019073486;243,33332824707;605,700012207031;0,923287689685822;0,168493151664734;0,0666666701436043;615;0,863013744354248;0,341463416814804
215;362;-1,75;1,54999995231628;-4,94999980926514;3147,30004882812;336,5;201,800003051758;13,8000001907349;926,200012207031;675,299987792969;803;762,5;5,19999980926514;41,2000007629395;249,800003051758;4,94999980926514;-7,55000019073486;12,5;-1,04999995231628;-2,54999995231628;158,66667175293;537;3,84243702888489;0,825630247592926;0,243042677640915;539;13,9033613204956;4,09276437759399
214;426;5,94999980926514;11,25;0,449999988079071;1312,5;176,300003051758;61,9000015258789;32,2999992370605;483,799987792969;222,800003051758;222,800003051758;453,899993896484;7,90000009536743;39,2000007629395;420,799987792969;15,9499998092651;-4,15000009536743;20,1000003814697;0,949999988079071;11,25;194;1058,30004882812;2,83848810195923;0,536082446575165;0,18840579688549;552;5,12714767456055;1,80193245410919
214;462;5,94999980926514;11,25;0,449999988079071;1312,5;176,300003051758;61,9000015258789;32,2999992370605;483,799987792969;222,800003051758;222,800003051758;453,899993896484;7,90000009536743;39,2000007629395;420,799987792969;15,9499998092651;-4,15000009536743;20,1000003814697;0,949999988079071;11,25;194;1058,30004882812;2,83848810195923;0,536082446575165;0,18840579688549;552;5,12714767456055;1,80193245410919
214;416;5,94999980926514;11,25;0,449999988079071;1312,5;176,300003051758;61,9000015258789;32,2999992370605;483,799987792969;222,800003051758;222,800003051758;453,899993896484;7,90000009536743;39,2000007629395;420,799987792969;15,9499998092651;-4,15000009536743;20,1000003814697;0,949999988079071;11,25;194;1058,30004882812;2,83848810195923;0,536082446575165;0,18840579688549;552;5,12714767456055;1,80193245410919
214;436;5,94999980926514;11,25;0,449999988079071;1312,5;176,300003051758;61,9000015258789;32,2999992370605;483,799987792969;222,800003051758;222,800003051758;453,899993896484;7,90000009536743;39,2000007629395;420,799987792969;15,9499998092651;-4,15000009536743;20,1000003814697;0,949999988079071;11,25;194;1058,30004882812;2,83848810195923;0,536082446575165;0,18840579688549;552;5,12714767456055;1,80193245410919
214;514;5,94999980926514;11,25;0,449999988079071;1312,5;176,300003051758;61,9000015258789;32,2999992370605;483,799987792969;222,800003051758;222,800003051758;453,899993896484;7,90000009536743;39,2000007629395;420,799987792969;15,9499998092651;-4,15000009536743;20,1000003814697;0,949999988079071;11,25;194;1058,30004882812;2,83848810195923;0,536082446575165;0,18840579688549;552;5,12714767456055;1,80193245410919
