"local";"rs";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"npp"
129;1653;9,85000038146973;17,5499992370605;3,04999995231628;1837,90002441406;287,899993896484;22,3999996185303;57;803,099975585938;111;111;714,700012207031;11,1999998092651;40,7999992370605;570,099975585938;26,4500007629395;-0,949999988079071;27,3999996185303;3,54999995231628;17,5499992370605;1393
129;2383;9,85000038146973;17,5499992370605;3,04999995231628;1837,90002441406;287,899993896484;22,3999996185303;57;803,099975585938;111;111;714,700012207031;11,1999998092651;40,7999992370605;570,099975585938;26,4500007629395;-0,949999988079071;27,3999996185303;3,54999995231628;17,5499992370605;1393
129;2045;9,85000038146973;17,5499992370605;3,04999995231628;1837,90002441406;287,899993896484;22,3999996185303;57;803,099975585938;111;111;714,700012207031;11,1999998092651;40,7999992370605;570,099975585938;26,4500007629395;-0,949999988079071;27,3999996185303;3,54999995231628;17,5499992370605;1393
372;152;2,95000004768372;20,0499992370605;-16,1499996185303;300,100006103516;81;2,40000009536743;106,199996948242;201,5;9,30000019073486;201,5;9,30000019073486;12,5;24,2000007629395;1404;26,75;-25,0499992370605;51,7999992370605;20,0499992370605;-16,1499996185303;524,200012207031
372;119;2,95000004768372;20,0499992370605;-16,1499996185303;300,100006103516;81;2,40000009536743;106,199996948242;201,5;9,30000019073486;201,5;9,30000019073486;12,5;24,2000007629395;1404;26,75;-25,0499992370605;51,7999992370605;20,0499992370605;-16,1499996185303;524,200012207031
1014;334;6,75;21,25;-9,64999961853027;390,200012207031;66,8000030517578;12,8000001907349;48,4000015258789;159,5;45,5;159,5;45,5;10,5;25,5;1202,5;27,0499992370605;-14,1499996185303;41,2000007629395;21,25;-9,64999961853027;663
1014;191;6,75;21,25;-9,64999961853027;390,200012207031;66,8000030517578;12,8000001907349;48,4000015258789;159,5;45,5;159,5;45,5;10,5;25,5;1202,5;27,0499992370605;-14,1499996185303;41,2000007629395;21,25;-9,64999961853027;663
369;95;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;79;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;77;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;66;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;57;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;91;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;58;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
369;58;3,75;20,8500003814697;-15,4499998092651;260,5;69,4000015258789;2;107;176,300003051758;7,69999980926514;176,300003051758;7,69999980926514;12,5;24,2000007629395;1406,09997558594;27,6499996185303;-23,9500007629395;51,5999984741211;20,8500003814697;-15,4499998092651;460,700012207031
374;820,26;2,25;19,0499992370605;-16,5499992370605;314,299987792969;87;2,5;106,800003051758;211,199996948242;9,60000038146973;211,199996948242;9,60000038146973;11,8000001907349;23,5;1385,30004882812;25,5499992370605;-24,5499992370605;50,0999984741211;19,0499992370605;-16,5499992370605;546,599975585938
1029;1675;13,6499996185303;21,0499992370605;6,44999980926514;803;79,8000030517578;48,5999984741211;14,8000001907349;229,300003051758;167,699996948242;168,199996948242;204,199996948242;9,39999961853027;37,5999984741211;570,700012207031;27,25;2,34999990463257;24,8999996185303;10,1499996185303;20,75;1205,59997558594
