"local";"rh";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"npp"
341;27;-8,85000038146973;16,5499992370605;-36,25;285,5;49,0999984741211;8,10000038146973;61,2999992370605;135,899993896484;27;135,899993896484;31,2000007629395;9,10000038146973;14,1999998092651;2071,10009765625;23,6499996185303;-40,3499984741211;64;16,5499992370605;-19,3500003814697;256,899993896484
289;11;3,75;12,6499996185303;-5,44999980926514;931,400024414062;127,5;45,2999992370605;35,5;363,299987792969;154,899993896484;363,299987792969;155,699996948242;9,80000019073486;33,2999992370605;704,200012207031;18,25;-11,25;29,5;12,6499996185303;-3,95000004768372;886,5
58;13;-10,6499996185303;3,34999990463257;-23,9500007629395;253;55,4000015258789;7,90000009536743;81,3000030517578;147,199996948242;24,6000003814697;126;24,6000003814697;4,30000019073486;12,6000003814697;1107,90002441406;7,55000019073486;-26,4500007629395;34;2,65000009536743;-23,9500007629395;210,800003051758
58;22;-10,6499996185303;3,34999990463257;-23,9500007629395;253;55,4000015258789;7,90000009536743;81,3000030517578;147,199996948242;24,6000003814697;126;24,6000003814697;4,30000019073486;12,6000003814697;1107,90002441406;7,55000019073486;-26,4500007629395;34;2,65000009536743;-23,9500007629395;210,800003051758
321;72;2,84999990463257;15,0500001907349;-8,94999980926514;829,099975585938;102,5;40,9000015258789;27,6000003814697;279,700012207031;132,5;279,700012207031;176,699996948242;5,90000009536743;18,2000007629395;928,5;20,25;-12,0500001907349;32,2999992370605;15,0500001907349;-3,95000004768372;821,099975585938
21;76;-2,15000009536743;15,25;-20,6499996185303;520,299987792969;92,3000030517578;19,2999992370605;54,7000007629395;234,5;62,2000007629395;231,800003051758;62,2000007629395;7,59999990463257;16,2999992370605;1383,5;21,5499992370605;-25,0499992370605;46,5999984741211;13,5500001907349;-20,6499996185303;516,299987792969
303;69;6,05000019073486;15,8500003814697;-3,04999995231628;647,799987792969;82,3000030517578;33,9000015258789;29;226,300003051758;106,199996948242;226,300003051758;129,300003051758;6,80000019073486;24,2000007629395;735,299987792969;21,6499996185303;-6,44999980926514;28,1000003814697;15,8500003814697;0,449999988079071;1018,20001220703
174;107,4;-0,0500000007450581;17,3500003814697;-19,3500003814697;779,299987792969;196;6,69999980926514;97,6999969482422;490,700012207031;25,8999996185303;490,700012207031;25,8999996185303;10,3999996185303;20,5;1429,09997558594;22,75;-27,9500007629395;50,7000007629395;17,3500003814697;-19,3500003814697;632
321;112;2,84999990463257;15,0500001907349;-8,94999980926514;829,099975585938;102,5;40,9000015258789;27,6000003814697;279,700012207031;132,5;279,700012207031;176,699996948242;5,90000009536743;18,2000007629395;928,5;20,25;-12,0500001907349;32,2999992370605;15,0500001907349;-3,95000004768372;821,099975585938
342;119;-8,94999980926514;16,4500007629395;-36,25;276;47;7,80000019073486;61,2999992370605;131,199996948242;26,1000003814697;131,199996948242;30;9;14,1000003814697;2067;23,5499992370605;-40,3499984741211;63,9000015258789;16,4500007629395;-19,4500007629395;254,100006103516
123;122;10,1499996185303;16,1499996185303;4,65000009536743;688,799987792969;71,8000030517578;43,5;15,3999996185303;209,5;146,5;152,300003051758;173,800003051758;6,80000019073486;35,2000007629395;450,600006103516;20,6499996185303;1,45000004768372;19,2000007629395;7,65000009536743;6,55000019073486;1069,5
